sequenceID	source.name	species	subtype	genotype
DQ104497	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ104498	ncbi-nuccore-hmpv	HMPV	B	B1
DQ104499	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ104500	ncbi-nuccore-hmpv	HMPV	B	-
DQ104501	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ104502	ncbi-nuccore-hmpv	HMPV	B	-
DQ104503	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104504	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104505	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104506	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104507	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104508	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104509	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104510	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104511	ncbi-nuccore-hmpv	HMPV	B	B1
DQ104512	ncbi-nuccore-hmpv	HMPV	A	-
DQ104513	ncbi-nuccore-hmpv	HMPV	B	B1
DQ104514	ncbi-nuccore-hmpv	HMPV	A	-
DQ104515	ncbi-nuccore-hmpv	HMPV	A	-
DQ104516	ncbi-nuccore-hmpv	HMPV	B	-
DQ104517	ncbi-nuccore-hmpv	HMPV	B	-
DQ104518	ncbi-nuccore-hmpv	HMPV	A	-
DQ104519	ncbi-nuccore-hmpv	HMPV	A	A1
DQ104520	ncbi-nuccore-hmpv	HMPV	B	B1
DQ104521	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112292	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ112293	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112294	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ112295	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112296	ncbi-nuccore-hmpv	HMPV	B	B2
DQ112297	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ112298	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112299	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112300	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112301	ncbi-nuccore-hmpv	HMPV	B	B2
DQ112302	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ112303	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112304	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112305	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ112306	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112307	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112308	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112309	ncbi-nuccore-hmpv	HMPV	B	B2
DQ112310	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112311	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112312	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112313	ncbi-nuccore-hmpv	HMPV	B	B2
DQ112314	ncbi-nuccore-hmpv	HMPV	B	B2
DQ112315	ncbi-nuccore-hmpv	HMPV	B	-
DQ112316	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112317	ncbi-nuccore-hmpv	HMPV	B	B1
DQ112318	ncbi-nuccore-hmpv	HMPV	A	A1
DQ112319	ncbi-nuccore-hmpv	HMPV	A	-
DQ112320	ncbi-nuccore-hmpv	HMPV	A	A1
DQ121378	ncbi-nuccore-hmpv	HMPV	A	A1
DQ121379	ncbi-nuccore-hmpv	HMPV	A	A1
DQ121380	ncbi-nuccore-hmpv	HMPV	B	B1
DQ121381	ncbi-nuccore-hmpv	HMPV	B	B2
DQ121382	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ121383	ncbi-nuccore-hmpv	HMPV	A	-
DQ121384	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ167476	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225188	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225189	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225190	ncbi-nuccore-hmpv	HMPV	A	-
DQ225191	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225192	ncbi-nuccore-hmpv	HMPV	A	-
DQ225193	ncbi-nuccore-hmpv	HMPV	A	-
DQ225194	ncbi-nuccore-hmpv	HMPV	A	-
DQ225195	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225196	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225197	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225198	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225199	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225200	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225201	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225202	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225203	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225204	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225205	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225206	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225207	ncbi-nuccore-hmpv	HMPV	B	-
DQ225208	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225209	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225210	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225211	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225212	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225213	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225214	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225215	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225216	ncbi-nuccore-hmpv	HMPV	B	-
DQ225217	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225218	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225219	ncbi-nuccore-hmpv	HMPV	B	-
DQ225220	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225221	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225222	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225223	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225224	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225225	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225226	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225227	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225228	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225229	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225230	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225231	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225232	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225233	ncbi-nuccore-hmpv	HMPV	B	-
DQ225234	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225235	ncbi-nuccore-hmpv	HMPV	A	A1
DQ225236	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225237	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225238	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225239	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225240	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225241	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225242	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225243	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225244	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225245	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225246	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225247	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225248	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225249	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225250	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225251	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225252	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225253	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225254	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ225255	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225256	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225257	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225258	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225259	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225260	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225261	ncbi-nuccore-hmpv	HMPV	B	B2
DQ225262	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225263	ncbi-nuccore-hmpv	HMPV	B	B1
DQ225264	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229370	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229371	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229372	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229373	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229374	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229375	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229376	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229377	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229378	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229379	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229380	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229381	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229382	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229383	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229384	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229385	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229386	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229387	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229388	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229389	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229390	ncbi-nuccore-hmpv	HMPV	B	-
DQ229391	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229392	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229393	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229394	ncbi-nuccore-hmpv	HMPV	B	-
DQ229395	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229396	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229397	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229398	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229399	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229400	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229401	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229402	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229403	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229404	ncbi-nuccore-hmpv	HMPV	A	-
DQ229405	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229406	ncbi-nuccore-hmpv	HMPV	B	-
DQ229407	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229408	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229409	ncbi-nuccore-hmpv	HMPV	A	-
DQ229410	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229411	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229412	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229413	ncbi-nuccore-hmpv	HMPV	B	-
DQ229414	ncbi-nuccore-hmpv	HMPV	B	-
DQ229415	ncbi-nuccore-hmpv	HMPV	B	-
DQ229416	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229417	ncbi-nuccore-hmpv	HMPV	B	-
DQ229418	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229419	ncbi-nuccore-hmpv	HMPV	B	-
DQ229420	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229421	ncbi-nuccore-hmpv	HMPV	A	-
DQ229422	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229423	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229424	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229425	ncbi-nuccore-hmpv	HMPV	A	-
DQ229426	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229427	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229428	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229429	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229430	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229431	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229432	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229433	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229434	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229435	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229436	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229437	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229438	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229439	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229440	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229441	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229442	ncbi-nuccore-hmpv	HMPV	A	-
DQ229443	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229444	ncbi-nuccore-hmpv	HMPV	B	-
DQ229445	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229446	ncbi-nuccore-hmpv	HMPV	B	-
DQ229447	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229448	ncbi-nuccore-hmpv	HMPV	B	-
DQ229449	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229450	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229451	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229452	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229453	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229454	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229455	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229456	ncbi-nuccore-hmpv	-	-	-
DQ229457	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229458	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229459	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229460	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229461	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229462	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229463	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229464	ncbi-nuccore-hmpv	HMPV	B	-
DQ229465	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229466	ncbi-nuccore-hmpv	HMPV	B	-
DQ229467	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229468	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229469	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229470	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229471	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229472	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229473	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229474	ncbi-nuccore-hmpv	HMPV	B	-
DQ229475	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229476	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229477	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229478	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229479	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229480	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229481	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229482	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229483	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229484	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229485	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229486	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229487	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229488	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229489	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229490	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229491	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229492	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229493	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229494	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229495	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229496	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229497	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229498	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229499	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229500	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229501	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229502	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229503	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229504	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229505	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229506	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229507	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229508	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229509	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229510	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229511	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229512	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229513	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229514	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229515	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229516	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229517	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229518	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229519	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229520	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229521	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229522	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229523	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229524	ncbi-nuccore-hmpv	HMPV	B	-
DQ229525	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229526	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229527	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229528	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229529	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229530	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229531	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229532	ncbi-nuccore-hmpv	HMPV	B	-
DQ229533	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229534	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229535	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229536	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229537	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229538	ncbi-nuccore-hmpv	HMPV	B	-
DQ229539	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229540	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229541	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229542	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229543	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229544	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229545	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229546	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229547	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229548	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229549	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229550	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229551	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229552	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229553	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229554	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229555	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229556	ncbi-nuccore-hmpv	HMPV	B	-
DQ229557	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229558	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229559	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229560	ncbi-nuccore-hmpv	HMPV	A	-
DQ229561	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229562	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229563	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229564	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229565	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229566	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229567	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229568	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229569	ncbi-nuccore-hmpv	HMPV	B	-
DQ229570	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229571	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229572	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229573	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229574	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229575	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229576	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229577	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229578	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229579	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229580	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229581	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229582	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229583	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229584	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229585	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229586	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229587	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229588	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229589	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229590	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229591	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229592	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229593	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229594	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229595	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229596	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229597	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229598	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229599	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229600	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229601	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229602	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229603	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229604	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229605	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229606	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229607	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229608	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229609	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229610	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229611	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229612	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229613	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229614	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229615	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229616	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229617	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229618	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229619	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229620	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229621	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229622	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229623	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229624	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229625	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229626	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229627	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229628	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229629	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229630	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229631	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229632	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229633	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229634	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229635	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229636	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229637	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229638	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229639	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229640	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229641	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229642	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229643	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229644	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229645	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229646	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229647	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229648	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229649	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229650	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229651	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229652	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229653	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229654	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229655	ncbi-nuccore-hmpv	HMPV	B	B2
DQ229656	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229657	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229658	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229659	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229660	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229661	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229662	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229663	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229664	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229665	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229666	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229667	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229668	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229669	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229670	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229671	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229672	ncbi-nuccore-hmpv	HMPV	A	A2b1
DQ229673	ncbi-nuccore-hmpv	HMPV	A	A1
DQ229674	ncbi-nuccore-hmpv	HMPV	A	A2a
DQ229675	ncbi-nuccore-hmpv	HMPV	B	B1
DQ229676	ncbi-nuccore-hmpv	HMPV	B	B1
